Neighbourhood,1 Homicide,2a Assault - FV,2b Assault - Non-FV,3 Sexual Assault,4 Other offences against a person,5a Robbery - armed,5b Robbery - other,6a Burglary dwellings,6b Burglary shops,6c Burglary other,7 Motor vehicle theft,8 Property damage,9 Other offences,91a TINs Speeding,91b TINs Mobile Use,91c TINs Seatbelts,91d TINs Other,92 Theft (excluding Motor Vehicles),93 CINs
ARANDA,0,3,6,0,1,0,0,5,1,1,4,9,100,182,0,2,191,26,0
BELCONNEN,0,36,115,52,12,13,6,52,54,23,63,268,870,176,0,33,747,600,1
BRUCE,0,8,22,5,5,0,0,28,4,12,11,200,156,68,0,5,462,145,0
CHARNWOOD,0,21,18,2,4,4,3,5,3,5,14,61,150,2,0,2,55,57,0
COOK,0,0,0,1,0,1,0,15,3,0,5,17,63,112,0,1,85,45,0
DUNLOP,0,12,14,6,3,1,0,30,0,0,9,48,78,4,0,3,24,75,0
EVATT,0,14,5,1,3,1,0,25,1,2,9,38,80,3,0,2,27,64,0
FLOREY,0,13,13,8,3,0,1,25,1,2,11,44,171,9,0,4,80,72,0
FLYNN,0,4,5,2,1,0,0,9,0,0,4,21,70,1,0,1,27,23,0
FRASER,0,6,3,0,1,0,1,10,1,0,3,12,28,8,0,0,16,24,0
GIRALANG,0,5,3,1,1,0,0,8,0,1,10,35,90,5,0,1,31,28,0
HAWKER,0,10,10,0,4,0,0,9,5,5,13,52,104,72,0,2,79,70,0
HIGGINS,0,4,3,2,1,0,0,11,0,3,6,22,117,18,0,2,44,23,0
HOLT,0,25,25,9,10,6,1,22,5,13,8,93,241,25,0,7,131,123,0
KALEEN,0,9,14,10,3,0,0,16,2,6,8,45,97,31,0,5,71,83,0
LATHAM,0,11,13,3,3,0,0,24,0,2,5,32,70,22,0,0,55,37,1
LAWSON,0,0,2,0,2,0,0,9,0,2,2,27,19,1,0,0,12,40,0
MACGREGOR,0,18,10,3,4,1,0,30,2,2,16,63,87,7,0,2,38,89,0
MACQUARIE,0,8,19,2,1,3,0,26,8,6,15,47,131,10,0,2,88,98,0
MCKELLAR,0,5,0,0,1,0,0,15,0,1,6,36,36,3,0,0,19,31,0
MELBA,0,12,14,4,1,1,0,12,0,0,7,33,108,4,0,1,45,39,0
PAGE,0,14,10,5,2,0,1,10,0,0,7,16,76,13,0,1,36,20,0
SCULLIN,0,5,8,3,2,0,0,8,0,3,3,26,72,18,0,1,33,26,0
SPENCE,0,7,4,6,1,1,1,12,0,0,6,22,57,7,0,2,24,34,0
WEETANGERA,0,4,0,0,0,1,0,14,0,0,2,21,14,16,0,0,21,28,0
